Date,Total Flow,VF Flow,Insta Flow,Hurdle,Excess,Total Net Profit,VF Net Profit,Insta Net Profit,VF Net/1K,Insta Net/1K,Investor Profit,Abbas Profit (40%),Ibrahim Profit (35%),Galhom Profit (25%)
2026-03-18,46640,46640,0,79000.0,0,-1503.1965112000169,-1503.1965112000169,0,-32.22977082332798,0,0,0.0,0.0,0.0
2026-03-19,50220,50220,0,79000.0,0,-334.44131220000054,-334.44131220000054,0,-6.659524336917574,0,0,0.0,0.0,0.0
2026-03-20,0,0,0,79000.0,0,-60.42591060000268,-60.42591060000268,0,0,0,0,0.0,0.0,0.0
2026-03-21,7000,7000,0,79000.0,0,640.1520298000032,640.1520298000032,0,91.45028997142903,0,0,256.0608119200013,224.05321043000112,160.0380074500008
2026-03-22,10680,10680,0,79000.0,0,-22.0,-22.0,0,-2.059925093632959,0,0,0.0,0.0,0.0
2026-03-23,39950,39950,0,79000.0,0,467.10334264999983,467.10334264999983,0,11.692198814768457,0,0,186.84133705999994,163.48616992749993,116.77583566249996
2026-03-24,57090,57090,0,79000.0,0,22.36016724998626,22.36016724998626,0,0.39166521720067016,0,0,8.944066899994505,7.826058537495191,5.590041812496565
2026-03-25,21550,21550,0,79000.0,0,50.125105500002974,50.125105500002974,0,2.3259909744780964,0,0,20.05004220000119,17.54378692500104,12.531276375000743
2026-03-26,35500,35500,0,79000.0,0,26.82823239999925,26.82823239999925,0,0.755724856338007,0,0,10.731292959999701,9.389881339999738,6.707058099999813
2026-03-27,70500,70500,0,79000.0,0,893.4409601999942,893.4409601999942,0,12.672921421276513,0,0,357.3763840799977,312.7043360699979,223.36024004999854
2026-03-28,65275,65275,0,79000.0,0,66.32577080000192,66.32577080000192,0,1.0160975993872374,0,0,26.53030832000077,23.21401978000067,16.58144270000048
2026-03-29,76180,76180,0,79000.0,0,-114.0,-114.0,0,-1.496455762667367,0,0,0.0,0.0,0.0
2026-03-30,65970,65970,0,79000.0,0,3717.9608737499802,3717.9608737499802,0,56.358357946793696,0,0,1487.184349499992,1301.286305812493,929.4902184374951
2026-03-31,70155,70155,0,79000.0,0,1307.4130358999973,1307.4130358999973,0,18.63606351507373,0,0,522.965214359999,457.594562564999,326.85325897499933
2026-04-01,75350,75350,0,79000.0,0,1259.0365762499969,1259.0365762499969,0,16.70917818513599,0,0,503.6146304999988,440.66280168749887,314.7591440624992
2026-04-02,30720,30720,0,79000.0,0,3101.058082299991,3101.058082299991,0,100.94590111653616,0,0,1240.4232329199965,1085.3703288049967,775.2645205749977
2026-04-03,42450,42450,0,79000.0,0,2481.615276599987,2481.615276599987,0,58.459723830388384,0,0,992.6461106399947,868.5653468099954,620.4038191499967
2026-04-04,41065,41065,0,79000.0,0,159.0,159.0,0,3.871910385973457,0,0,63.6,55.65,39.75
2026-04-05,74740,74740,0,79000.0,0,9.0,9.0,0,0.12041744715012043,0,0,3.6,3.15,2.25
2026-04-06,6500,6500,0,79000.0,0,895.3976200500001,895.3976200500001,0,137.75348000769233,0,0,358.15904802000006,313.38916701750003,223.84940501250003
2026-04-07,44000,44000,0,79000.0,0,1624.95107119999,1624.95107119999,0,36.93070616363614,0,0,649.9804284799961,568.7328749199964,406.2377677999975
2026-04-08,33770,33770,0,79000.0,0,913.6816364499973,913.6816364499973,0,27.05601529315953,0,0,365.47265457999896,319.788572757499,228.42040911249933
2026-04-09,81000,60000,21000,79000.0,0,123.0,-3.0,126,-0.05,6.0,0,49.2,43.05,30.75
2026-04-10,49500,22500,27000,79000.0,0,1669.965651699988,1562.315651699988,107.65,69.43625118666613,3.9870370370370374,0,667.9862606799952,584.4879780949958,417.491412924997
2026-04-11,69000,51800,17200,79000.0,0,-5876.5100873,54.689912699999695,68.8,1.0557898204633145,4.0,0,0.0,0.0,0.0
2026-04-12,101655,54900,46755,79000.0,22655.0,678.0508735999983,431.04587359999823,247.00500000000005,7.851473107468091,5.28296438883542,60.44461183968505,247.04250470412532,216.16219161610962,154.40156544007831
2026-04-13,87640,66930,20710,79000.0,8640.0,-137.6817269999957,861.6582730000043,129.66,12.874021709248533,6.2607436021245775,39.0916927371978,0.0,0.0,0.0
2026-04-14,144740,87600,57140,79000.0,65740.0,778.0526457500007,516.3526457500006,261.7,5.894436595319642,4.579978998949947,141.35465229129488,254.67919738348235,222.844297710547,159.17449836467645
2026-04-15,54625,37325,17300,79000.0,0,18.110566449999467,-58.089433550000535,76.2,-1.5563143616878912,4.404624277456647,0,7.244226579999787,6.338698257499813,4.527641612499867
2026-04-16,101160,71510,29650,79000.0,22160.0,294.8,146.55,148.25,2.0493637253530976,5.0,25.83142744167656,107.58742902332938,94.1390003954132,67.24214313958086
2026-04-17,30345,26995,3350,79000.0,0,-280.3552042500033,-296.4552042500033,16.1,-10.981856056677284,4.8059701492537314,0,0.0,0.0,0.0
2026-04-18,113140,69810,43330,79000.0,34140.0,359.8,168.15,191.65,2.40868070477009,4.42303254096469,43.42786636026163,126.54885345589535,110.73024677390842,79.09303340993459
2026-04-19,46490,41190,5300,79000.0,0,243.07,218.76999999999998,24.299999999999997,5.31124059237679,4.584905660377358,0,97.22800000000001,85.07449999999999,60.7675
2026-04-20,3000,3000,0,79000.0,0,44.19,44.19,0,14.73,0,0,17.676,15.466499999999998,11.0475
